,title,link,address,rent,rooms,bathrooms,residents,start_date,furnished,悉尼大学步行距离,新南威尔士大学Paddington校区步行距离,西悉尼大学Campbelltown分校步行距离,新南威尔士大学步行距离,麦考瑞大学步行距离,悉尼科技大学步行距离,泰勒学院步行距离,拉筹伯大学悉尼校区步行距离,泰勒语言学校步行距离,悉尼电影学院步行距离,西悉尼大学Parramatta分校步行距离,西悉尼大学步行距离,悉尼大学坐车距离,新南威尔士大学Paddington校区坐车距离,新南威尔士大学坐车距离,麦考瑞大学坐车距离,悉尼科技大学坐车距离,泰勒学院坐车距离,泰勒语言学校坐车距离,悉尼电影学院坐车距离,西悉尼大学Parramatta分校坐车距离,西悉尼大学坐车距离,WIFI,厨房,游泳池,餐馆,火车站,冰箱,公园,公交站,电梯,空调,阳台,健身房,包bill,洗衣机,电视,超市,收起,近city
0,Central Park一房一卫 随时入住,https://www.awehome.com/au/sydney/detail-apartments-24763,"18 Park Lane, Chippendale New South Wales 2008, Australia",580,1,1,2,2020-10-23,1,1408.0,,,5811.0,,472.0,,,,,,,2150.0,,5864.0,,741.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,Mascot一房+书房出租,https://www.awehome.com/au/sydney/detail-apartments-27735,"1 Gearin Alley, Mascot New South Wales 2020, Australia",2020,1,1,2,2020-10-05,1,4792.0,,,5314.0,,,3444.0,,,,,,4886.0,,5154.0,,,3280.0,,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
2,近期入住 长短租均可waterloo一房公寓出租 带家具,https://www.awehome.com/au/sydney/detail-apartments-24865,"11 Potter Street, Waterloo New South Wales 2017, Australia",590,1,1,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
3,【特价房间】Wolli Creek 火车站旁 全新高层大落地窗 两房,https://www.awehome.com/au/sydney/detail-apartments-24710,"9 Brodie Spark Drive, Wolli Creek New South Wales 2205, Australia",700,2,2,2,2020-10-23,1,6567.0,,,,,7916.0,6840.0,,,,,,6902.0,,,,8199.0,7329.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Camperdown豪华两房带高档家具,https://www.awehome.com/au/sydney/detail-apartments-26487,"23-25 Larkin Street, Camperdown New South Wales 2050, Australia",850,2,2,3,2020-10-23,1,1184.0,,,,,2123.0,,,,,,,2909.0,,,,1985.0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
5,转合同 Infinity 高层 两房两卫带车位 包家具包水网,https://www.awehome.com/au/sydney/detail-apartments-25604,"301 Botany Road, Zetland New South Wales 2017, Australia",990,2,2,2,2020-10-23,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
6,Zetland 超新studio出租 随时可住,https://www.awehome.com/au/sydney/detail-apartments-25383,"Botany Road, Zetland New South Wales 2017, Australia",480,1,1,1,2020-10-23,1,3061.0,,,3743.0,,,517.0,,,,,,3850.0,,4040.0,,,498.0,,,,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1
7,全新超值大两房一书房 大阳台窗户有庭院 特价限量出租,https://www.awehome.com/au/sydney/detail-apartments-24802,"906 Bourke Street, Zetland New South Wales 2017, Australia",800,2,2,4,2020-10-23,1,3102.0,,,3472.0,,,231.0,,,,,,4269.0,,3761.0,,,219.0,,,,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
8,特价两房 Zetland 带家具两房两卫出租 近火车站 位置极佳,https://www.awehome.com/au/sydney/detail-apartments-26939,1/28 Gadigal Ave Zetland NSW 2017,675,2,2,4,2020-10-23,1,3518.0,,,,,3407.0,565.0,,,,,,4689.0,,,,4013.0,609.0,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
9,悉尼Darling North一室一厅大户型公寓,https://www.awehome.com/au/sydney/detail-apartments-19720,"83 Harbour Street, Haymarket New South Wales 2000, Australia",680,1,1,2,2020-10-23,1,2294.0,,,6164.0,,1050.0,,,,,,,3387.0,,6676.0,,1054.0,,,,,,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
10,Darling Harbor 高层超广view两室 近期入住,https://www.awehome.com/au/sydney/detail-apartments-27269,"Haymarket, New South Wales, Australia",720,2,1,3,2020-10-23,1,1929.0,,,5861.0,,642.0,,,,,,,2732.0,,6559.0,,399.0,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
11,Central Park 黄金地段 三房两卫整租 高层view,https://www.awehome.com/au/sydney/detail-apartments-25374,"18 Park Lane, Chippendale New South Wales 2008, Australia",1450,3,2,3,2020-10-23,1,1408.0,,,5796.0,,472.0,,,,,,,2150.0,,5864.0,,741.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
12,Darling Square 两房一卫 Wirth House大楼 仅有的24套之一 家具齐全,https://www.awehome.com/au/sydney/detail-apartments-26199,"Tumbalong Boulevard, Haymarket New South Wales 2000, Australia",830,2,1,4,2020-10-23,1,2072.0,,,,,953.0,,,,,,,3045.0,,,,712.0,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
